Project Name,Google Search Spent,Google Search Lead,Google Search CPL,Google Discovery Spent,Google Discovery Lead,Google Discovery CPL,Google Total Spent,Google Total Lead,Google Total CPL,Facebook Spent,Facebook Leads,Facebook CPL,Taboola Ads Spent,Taboola Ads Lead,Taboola Ads CPL,TOTAL Spent,TOTAL Leads,TOTAL CPL
Prestige Siesta/Forest Hills,,0.0,,0.0,,,,,,,,,,,,0.0,,
Provident Adora De Goa ,,0.0,,0.0,,,,,,,,,,,,0.0,,
Purva Lokhandwala,38841.09,2.0,19421.0,56578.7,45.0,1257.0,95419.79,47.0,2030.0,177714.67,,,79437.65999999999,104.0,764.0,352572.12,,
Purva Panorama,307776.76,34.69,8872.0,95189.11000000002,37.93,2510.0,402965.87,72.62,5549.0,55261.450000000004,,,24733.07,2.0,12367.0,482960.38999999996,,
Raheja Amaltis,,0.0,,0.0,,,,,,,,,,,,0.0,,
Raheja Antares Kanjurmarg ,,0.0,,0.0,,,,,,,,,,,,0.0,,
Raheja Jade City Juinagar,,0.0,,0.0,,,,,,,,,,,,0.0,,
Raymond Invictus,,0.0,,0.0,,,,,,228.84,,,607.79,3.0,203.0,836.63,,
Raymond Wadala,,,,,,,,,,,,,,,,0.0,,
Runwal 25 Hours Thane,,0.0,,0.0,,,,,,,,,,,,0.0,,
Runwal Garden,,0.0,,0.0,,,,,,,,,,,,0.0,,
Shapoorji Codename Zest,,0.0,,0.0,,,,,,1488.8600000000001,,,11632.84,4.0,2908.0,13121.699999999999,,
Shapoorji Impulse Commericial,,0.0,,0.0,,,,,,,,,,,,0.0,,
Shapoorji Pallonji Minerva,,0.0,,0.0,,,,,,,,,,,,0.0,,
Shapoorji Pallonji Northern Lights ,3676.6099999999997,0.0,,10605.57,4.0,2651.0,14282.18,4.0,3571.0,11424.310000000003,,,16188.19,18.0,899.0,41894.68,,
Shapoorji Pallonji Santacruz,,0.0,,0.0,,,,,,12835.29,,,12143.990000000002,12.0,1012.0,24979.28,,
Sobha Inizio Parel,,0.0,,0.0,,,,,,,,,,,,0.0,,
Total,2319290.94,529.21,4383.0,1009612.1,752.06,1342.0,3328903.04,1281.27,2598.0,1675855.3000000003,,,1159874.2,1191.0,974.0,6164632.540000001,,
